Step 128. Reward: 13.193357, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 875.888582. Return so far: 1326.335583. Done: 0. Took 280.202322 seconds!
Step 129. Reward: 13.150467, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 876.673101. Return so far: 1339.486049. Done: 0. Took 278.940632 seconds!
Step 130. Reward: 13.327190, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 876.509241. Return so far: 1352.813239. Done: 0. Took 280.649406 seconds!
Step 131. Reward: 14.109767, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 880.417372. Return so far: 1366.923006. Done: 0. Took 283.804174 seconds!
Step 132. Reward: 14.679933, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 885.592837. Return so far: 1381.602939. Done: 0. Took 282.435967 seconds!
Step 133. Reward: 14.655881, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 889.142444. Return so far: 1396.258820. Done: 0. Took 280.831891 seconds!
Step 134. Reward: 14.677233, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 889.887328. Return so far: 1410.936053. Done: 0. Took 277.104631 seconds!
Step 135. Reward: 14.705850, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 891.643104. Return so far: 1425.641903. Done: 0. Took 277.882133 seconds!
Step 136. Reward: 14.446412, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 892.582295. Return so far: 1440.088315. Done: 0. Took 277.008272 seconds!
Step 137. Reward: 14.138819, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 892.927480. Return so far: 1454.227134. Done: 0. Took 275.725219 seconds!
Step 138. Reward: 14.249669, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 895.976229. Return so far: 1468.476803. Done: 0. Took 276.911968 seconds!
Step 139. Reward: 14.262252, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 896.763211. Return so far: 1482.739055. Done: 0. Took 287.955212 seconds!
Step 140. Reward: 14.243541, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 896.565267. Return so far: 1496.982596. Done: 0. Took 283.175875 seconds!
Step 141. Reward: 14.280154, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 895.700810. Return so far: 1511.262750. Done: 0. Took 284.172676 seconds!
Step 142. Reward: 14.329422, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 895.506044. Return so far: 1525.592172. Done: 0. Took 281.797544 seconds!
Step 143. Reward: 14.271827, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 893.963800. Return so far: 1539.863999. Done: 0. Took 279.870477 seconds!
Step 144. Reward: 14.269093, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.311263. Return so far: 1554.133092. Done: 0. Took 283.903694 seconds!
Step 145. Reward: 14.276855, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 896.848675. Return so far: 1568.409947. Done: 0. Took 289.931139 seconds!
Step 146. Reward: 14.266109, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 895.929159. Return so far: 1582.676056. Done: 0. Took 282.893178 seconds!
Step 147. Reward: 14.280722, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.635855. Return so far: 1596.956778. Done: 0. Took 284.134822 seconds!
Step 148. Reward: 14.280869, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.757554. Return so far: 1611.237647. Done: 0. Took 283.196530 seconds!
Step 149. Reward: 14.221497, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 895.757213. Return so far: 1625.459144. Done: 0. Took 289.412867 seconds!
Step 150. Reward: 14.264171, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 893.343359. Return so far: 1639.723315. Done: 0. Took 285.072914 seconds!
Step 151. Reward: 14.263570, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 896.274154. Return so far: 1653.986885. Done: 0. Took 285.492391 seconds!
Step 152. Reward: 14.247842, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.270046. Return so far: 1668.234727. Done: 0. Took 290.100544 seconds!
Step 153. Reward: 14.276989, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 897.301515. Return so far: 1682.511716. Done: 0. Took 286.392693 seconds!
Step 154. Reward: 14.288012, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 896.374930. Return so far: 1696.799727. Done: 0. Took 289.151066 seconds!
